dataset,nodes,k,seed_id,algorithm,seed_median_s,seed_iqr_s,n_repeats
digits_n1250,1250,10,3,floyd_warshall,2.0360762589999997,0.026079571499999954,6
digits_n1250,1250,10,3,johnson,0.4229111465,0.0014968650000000139,6
digits_n1250,1250,10,4,dijkstra,0.3542895345,0.01849601175000004,6
digits_n1250,1250,10,4,floyd_warshall,2.014946459,0.025146842499999877,6
digits_n1250,1250,10,4,johnson,0.415674573,0.00501886800000001,6
digits_n1250,1250,20,0,dijkstra,0.520581349,0.013990714500000001,6
digits_n1250,1250,20,0,floyd_warshall,2.3816634504999996,0.03932945425000023,6
digits_n1250,1250,20,0,johnson,0.6487677705,0.010869721999999915,6
digits_n1250,1250,20,1,dijkstra,0.5278017445000001,0.0380235765000001,6
digits_n1250,1250,20,1,floyd_warshall,2.379335801,0.020041863999999965,6
digits_n1250,1250,20,1,johnson,0.6617263305000001,0.045283890250000014,6
digits_n1250,1250,20,2,dijkstra,0.512994795,0.023138482999999987,6
digits_n1250,1250,20,2,floyd_warshall,2.3649072325000002,0.06308298300000015,6
digits_n1250,1250,20,2,johnson,0.6694539885,0.05836149550000003,6
digits_n1250,1250,20,3,dijkstra,0.5376654325,0.007625333500000053,6
digits_n1250,1250,20,3,floyd_warshall,2.3390569975,0.01081244700000017,6
digits_n1250,1250,20,3,johnson,0.645807652,0.0038103262499999957,6
digits_n1250,1250,20,4,dijkstra,0.52827738,0.019704848250000073,6
digits_n1250,1250,20,4,floyd_warshall,2.3681439629999996,0.06783787424999987,6
digits_n1250,1250,20,4,johnson,0.6431152124999999,0.00908144224999996,6
digits_n150,150,5,0,dijkstra,0.00368334780769225,0.00011812159615380005,6
digits_n150,150,5,0,floyd_warshall,0.00338551707142855,9.404185714287491e-05,6
digits_n150,150,5,0,johnson,0.004485438545454501,8.310004545457501e-05,6
digits_n150,150,5,1,dijkstra,0.0037605973461538,0.00014831328846154996,6
digits_n150,150,5,1,floyd_warshall,0.0035297851666666,5.7929733333374894e-05,6
digits_n150,150,5,1,johnson,0.0041873864166666,0.00010556625000005069,6
digits_n150,150,5,2,dijkstra,0.00360498642857135,8.54520000000249e-05,6
digits_n150,150,5,2,floyd_warshall,0.003401887375,0.00010156832812500006,6
digits_n150,150,5,2,johnson,0.0044050647083333,0.00018835131249999963,6
digits_n150,150,5,3,dijkstra,0.0038364613928571004,0.00026289939285707503,6
digits_n150,150,5,3,floyd_warshall,0.0035939737333332998,0.0001860803499999751,6
digits_n150,150,5,3,johnson,0.00429064287499995,0.00026746472916672464,6
digits_n150,150,5,4,dijkstra,0.0034700208928571,0.0001005011428571248,6
digits_n150,150,5,4,floyd_warshall,0.00339661296428565,9.223799999994939e-05,6
digits_n150,150,5,4,johnson,0.004323992333333301,0.00013079885416667544,6
digits_n150,150,10,0,dijkstra,0.00516070285,0.00015099264999999997,6
digits_n150,150,10,0,floyd_warshall,0.005011945125,0.00013208537500000034,6
digits_n150,150,10,0,johnson,0.006650359687499999,0.00023934034374999916,6
digits_n150,150,10,1,dijkstra,0.0048990756363636,9.863209090907495e-05,6
digits_n150,150,10,1,floyd_warshall,0.00487932985,0.00012144212500000105,6
digits_n150,150,10,1,johnson,0.0063857533125,0.00013710899999999984,6
digits_n150,150,10,2,dijkstra,0.00501507055,0.00016987640000007496,6
digits_n150,150,10,2,floyd_warshall,0.004795394454545399,0.0001305035227272995,6
digits_n150,150,10,2,johnson,0.0063200536875000005,0.00013498946874999918,6
digits_n150,150,10,3,dijkstra,0.0050503601999999995,0.00010817260000000033,6
digits_n150,150,10,3,floyd_warshall,0.00488477566666665,3.503869444445012e-05,6
digits_n150,150,10,3,johnson,0.0063786855,0.00015170696875000007,6
digits_n150,150,10,4,dijkstra,0.00493411977272725,0.00010245849999999945,6
digits_n150,150,10,4,floyd_warshall,0.0048501331,9.916847500000044e-05,6
digits_n150,150,10,4,johnson,0.006477384375000001,0.00032647243750000016,6
digits_n150,150,20,0,dijkstra,0.0077194863333332996,0.00031834808333339876,6
digits_n150,150,20,0,floyd_warshall,0.0058738119999999505,0.00022181458333339968,6
digits_n150,150,20,0,johnson,0.0104496725,0.0002181930000000002,6
digits_n150,150,20,1,dijkstra,0.0075971192857142,0.00017094696428572413,6
digits_n150,150,20,1,floyd_warshall,0.0057220507857142,0.0001652923928571002,6
digits_n150,150,20,1,johnson,0.010392921999999999,0.00038270899999999844,6
digits_n150,150,20,2,dijkstra,0.0074405652857142505,0.00020593417857147495,6
digits_n150,150,20,2,floyd_warshall,0.0058698871666666,0.00014435336111112435,6
digits_n150,150,20,2,johnson,0.0103993165,0.0007211024999999992,6
digits_n150,150,20,3,dijkstra,0.0076026023571428,0.00013225539285717427,6
digits_n150,150,20,3,floyd_warshall,0.0057496967222221505,0.00010528813888887548,6
digits_n150,150,20,3,johnson,0.010279300000000002,0.00034137149999999977,6
digits_n150,150,20,4,dijkstra,0.00777699199999995,0.0003366192499999754,6
digits_n150,150,20,4,floyd_warshall,0.0058664673125,0.0001295182500000002,6
digits_n150,150,20,4,johnson,0.010662491,0.00039897600000000054,6
digits_n1500,1500,5,0,dijkstra,0.384212134,0.010039126750000016,6
digits_n1500,1500,5,0,floyd_warshall,2.7337695295,0.07452561474999975,6
digits_n1500,1500,5,0,johnson,0.4345054785,0.03036652025000003,6
digits_n1500,1500,5,1,dijkstra,0.385909546,0.02069035625000004,6
digits_n1500,1500,5,1,floyd_warshall,2.4808131280000003,0.03536954599999964,6
digits_n1500,1500,5,1,johnson,0.4372206825,0.010402993999999999,6
digits_n1500,1500,5,2,dijkstra,0.3847302975,0.017704599749999994,6
digits_n1500,1500,5,2,floyd_warshall,2.3876296075,0.06759713174999993,6
digits_n1500,1500,5,2,johnson,0.4734242285,0.008608525249999999,6
digits_n1500,1500,5,3,dijkstra,0.390978551,0.019645761250000005,6
digits_n1500,1500,5,3,floyd_warshall,2.5857808855,0.035170639249999525,6
digits_n1500,1500,5,3,johnson,0.436271972,0.0070423167499999995,6
digits_n1500,1500,5,4,dijkstra,0.389738986,0.022461366250000003,6
digits_n1500,1500,5,4,floyd_warshall,2.3358765875,0.032800832999999585,6
digits_n1500,1500,5,4,johnson,0.439121322,0.03177181849999999,6
digits_n1500,1500,10,0,dijkstra,0.5260592095000001,0.01966525549999998,6
digits_n1500,1500,10,0,floyd_warshall,3.3668769335000004,0.02765353525000025,6
digits_n1500,1500,10,0,johnson,0.606890827,0.013194035249999958,6
digits_n1500,1500,10,1,dijkstra,0.5254661725,0.012148210999999964,6
digits_n1500,1500,10,1,floyd_warshall,3.507226885,0.015888373500000164,6
digits_n1500,1500,10,1,johnson,0.618678362,0.013194286249999965,6
digits_n1500,1500,10,2,dijkstra,0.516405131,0.019683404749999966,6
digits_n1500,1500,10,2,floyd_warshall,3.574669984,0.08184945024999957,6
digits_n1500,1500,10,2,johnson,0.608814678,0.0024102107500000303,6
digits_n1500,1500,10,3,dijkstra,0.526097283,0.04087104650000001,6
digits_n1500,1500,10,3,floyd_warshall,3.669761457,0.08339946325000014,6
digits_n1500,1500,10,3,johnson,0.613494428,0.00842250099999986,6
